snr_db,f0,f1,frequency_pair,folder,messages_found,messages_expected,passed
-1.4999999999999956,22000.0,23000.0,22000-23000,22000-23000_speaker,125,125,True
-1.4999999999999956,7000.0,8000.0,7000-8000,7000-8000_speaker,125,125,True
-1.7999999999999954,15000.0,16000.0,15000-16000,15000-16000_speaker,125,125,True
-1.7999999999999954,2000.0,3000.0,2000-3000,2000-3000_speaker,125,125,True
-1.7999999999999954,22000.0,23000.0,22000-23000,22000-23000_speaker,125,125,True
-1.7999999999999954,7000.0,8000.0,7000-8000,7000-8000_speaker,125,125,True
-2.099999999999995,15000.0,16000.0,15000-16000,15000-16000_speaker,123,125,False
-2.099999999999995,2000.0,3000.0,2000-3000,2000-3000_speaker,125,125,True
-2.099999999999995,22000.0,23000.0,22000-23000,22000-23000_speaker,125,125,True
-2.099999999999995,7000.0,8000.0,7000-8000,7000-8000_speaker,125,125,True
-2.399999999999995,15000.0,16000.0,15000-16000,15000-16000_speaker,125,125,True
-2.399999999999995,2000.0,3000.0,2000-3000,2000-3000_speaker,125,125,True
-2.399999999999995,22000.0,23000.0,22000-23000,22000-23000_speaker,124,125,False
-2.399999999999995,7000.0,8000.0,7000-8000,7000-8000_speaker,125,125,True
-2.699999999999995,15000.0,16000.0,15000-16000,15000-16000_speaker,125,125,True
-2.699999999999995,2000.0,3000.0,2000-3000,2000-3000_speaker,125,125,True
-2.699999999999995,22000.0,23000.0,22000-23000,22000-23000_speaker,125,125,True
-2.699999999999995,7000.0,8000.0,7000-8000,7000-8000_speaker,124,125,False
-2.9999999999999947,15000.0,16000.0,15000-16000,15000-16000_speaker,125,125,True
-2.9999999999999947,2000.0,3000.0,2000-3000,2000-3000_speaker,123,125,False
-2.9999999999999947,22000.0,23000.0,22000-23000,22000-23000_speaker,125,125,True
-2.9999999999999947,7000.0,8000.0,7000-8000,7000-8000_speaker,123,125,False
-3.2999999999999945,15000.0,16000.0,15000-16000,15000-16000_speaker,125,125,True
-3.2999999999999945,2000.0,3000.0,2000-3000,2000-3000_speaker,123,125,False
-3.2999999999999945,22000.0,23000.0,22000-23000,22000-23000_speaker,124,125,False
-3.2999999999999945,7000.0,8000.0,7000-8000,7000-8000_speaker,125,125,True
-3.5999999999999943,15000.0,16000.0,15000-16000,15000-16000_speaker,125,125,True
-3.5999999999999943,2000.0,3000.0,2000-3000,2000-3000_speaker,124,125,False
-3.5999999999999943,22000.0,23000.0,22000-23000,22000-23000_speaker,124,125,False
-3.5999999999999943,7000.0,8000.0,7000-8000,7000-8000_speaker,125,125,True
-3.899999999999994,15000.0,16000.0,15000-16000,15000-16000_speaker,125,125,True
-3.899999999999994,2000.0,3000.0,2000-3000,2000-3000_speaker,120,125,False
-3.899999999999994,22000.0,23000.0,22000-23000,22000-23000_speaker,125,125,True
-3.899999999999994,7000.0,8000.0,7000-8000,7000-8000_speaker,125,125,True
-4.199999999999994,15000.0,16000.0,15000-16000,15000-16000_speaker,125,125,True
-4.199999999999994,2000.0,3000.0,2000-3000,2000-3000_speaker,113,125,False
-4.199999999999994,22000.0,23000.0,22000-23000,22000-23000_speaker,125,125,True
-4.199999999999994,7000.0,8000.0,7000-8000,7000-8000_speaker,125,125,True
-4.499999999999994,15000.0,16000.0,15000-16000,15000-16000_speaker,125,125,True
-4.499999999999994,2000.0,3000.0,2000-3000,2000-3000_speaker,104,125,False
-4.499999999999994,22000.0,23000.0,22000-23000,22000-23000_speaker,124,125,False
-4.499999999999994,7000.0,8000.0,7000-8000,7000-8000_speaker,125,125,True
-4.799999999999994,15000.0,16000.0,15000-16000,15000-16000_speaker,125,125,True
-4.799999999999994,2000.0,3000.0,2000-3000,2000-3000_speaker,94,125,False
-4.799999999999994,22000.0,23000.0,22000-23000,22000-23000_speaker,125,125,True
-4.799999999999994,7000.0,8000.0,7000-8000,7000-8000_speaker,125,125,True
-5.099999999999993,15000.0,16000.0,15000-16000,15000-16000_speaker,125,125,True
-5.099999999999993,2000.0,3000.0,2000-3000,2000-3000_speaker,78,125,False
-5.099999999999993,22000.0,23000.0,22000-23000,22000-23000_speaker,125,125,True
-5.099999999999993,7000.0,8000.0,7000-8000,7000-8000_speaker,118,125,False
-5.399999999999993,15000.0,16000.0,15000-16000,15000-16000_speaker,125,125,True
-5.399999999999993,2000.0,3000.0,2000-3000,2000-3000_speaker,0,125,False
-5.399999999999993,22000.0,23000.0,22000-23000,22000-23000_speaker,125,125,True
-5.399999999999993,7000.0,8000.0,7000-8000,7000-8000_speaker,125,125,True
-5.699999999999993,15000.0,16000.0,15000-16000,15000-16000_speaker,125,125,True
-5.699999999999993,2000.0,3000.0,2000-3000,2000-3000_speaker,39,125,False
-5.699999999999993,22000.0,23000.0,22000-23000,22000-23000_speaker,125,125,True
-5.699999999999993,7000.0,8000.0,7000-8000,7000-8000_speaker,125,125,True
-5.999999999999993,15000.0,16000.0,15000-16000,15000-16000_speaker,125,125,True
-5.999999999999993,2000.0,3000.0,2000-3000,2000-3000_speaker,21,125,False
